asin,title,price,rating,reviews,sold_past_month,is_bestseller,is_prime,is_amazon_choice,has_sustainability_features,brand
B0DJLL26QB,"ACEMAGIC Laptop Computer, 16GB DDR4 512GB SSD, 15.6 Inch Windows 11 Laptop with Quad-Core N95(Up to 3.4GHz), Metal Shell, BT5.0, 5G WiFi, USB3.2, Type_C, Webcam, 38Wh Battery",359.99,4.6 out of 5 stars,19.0,200.0,False,False,False,False,ACEMAGIC
B0CBJ46QZX,"Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",206.99,4.3 out of 5 stars,497.0,2000.0,False,False,True,False,Lenovo
B0D33NC672,"Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",168.0,4.5 out of 5 stars,10268.0,1000.0,False,False,False,False,acer
B0CJS1399P,"Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",169.9,4.2 out of 5 stars,1095.0,500.0,False,False,False,False,ASUS
B0DCLJ9V2B,"Chromebook 2024 Newest 14"" Touchscreen Slim Laptop Business Student, 8-Core MediaTek Kompanio 520, 4GB RAM, 128GB Storage (64GB eMMC+64GB Card), WiFi 6, Long Battery, Chrome OS+MarxsolAccessory",208.0,4.6 out of 5 stars,8.0,300.0,False,False,False,False,Lenovo
B09SVSBVP1,"Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",197.11,4.3 out of 5 stars,1796.0,1000.0,False,False,False,False,HP
B0DJNCG9LV,NewAcer Chromebook 311 11.6 inch HD Business & Student School Laptop_Intel_Celeron N4500 4GB RAM 64GB eMMC_Intel.UHD Graphics Webcam USB-C WiFi up to 10 hours Long Battery Life_Chrome_OS Star Black,149.0,,,,False,False,False,False,NewAcer
B08SHN3TZP,"Dell Chromebook 11 3100 11.6"" Chromebook - 1366 x 768 - Celeron N4020-4 GB RAM - 16 GB Flash Memory - Chrome OS - Intel HD Graphics - English (US) Keyboard - Bluetooth (Renewed)",60.0,4.0 out of 5 stars,557.0,500.0,False,False,False,True,Dell
B0BK2Z5QGC,"Dell Chromebook 11 3100 11.6"" Touchscreen 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N4020 Dual-Core (2 Core) - 4 GB RAM - 32 GB Flash Memory (Renewed)",50.0,4.2 out of 5 stars,322.0,500.0,False,False,False,False,Dell
B0CRD2YLLC,"Chromebook Flip CX1 Convertible Laptop, 14"" FHD NanoEdge 360-degree Touchscreen, Intel Celeron N6000 4-Core Processor, 128GB eMMC Storage, 8GB RAM, ChromeOS, Transparent Silver, CX1400FKA-AS88F",329.99,4.3 out of 5 stars,133.0,400.0,False,False,False,False,ASUS
B0CLNKRXJG,"2023 Newest Chromebook 315 Laptop, 15.6"" HD Display, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 64GB eMMC, Intel UHD Graphics, 12.5H Long Battery, WiFi, Bluetooth, Chrome OS",185.0,4.2 out of 5 stars,108.0,200.0,False,False,False,False,acer
B0BSJ46KY9,"IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",255.0,4.2 out of 5 stars,346.0,500.0,False,False,False,False,Lenovo
B0C7MR5RDH,"2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",177.0,4.2 out of 5 stars,472.0,300.0,False,False,False,False,HP
B0BS4BP8FB,"Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",279.99,4.4 out of 5 stars,39243.0,8000.0,True,False,False,False,acer
B0D7SK7H8N,"IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS",159.9,,,,False,False,False,False,Lenovo
B0DFV8J3P5,"2024 Newest 311 Chromebook Laptop Student Business, Dual-Core Intel N4500 Processor,11.6"" HD Display, 4GB RAM, 192GB (64GB eMMC+128GB Card), Webcam WiFi, Long Battery, Chrome OS +MarxsolAccessory",210.5,4.3 out of 5 stars,175.0,100.0,False,False,False,False,acer
B07N9JMSW6,"LAPGEAR Home Office Lap Desk with Device Ledge, Mouse Pad, and Phone Holder - Silver Carbon - Fits up to 15.6 Inch Laptops - Style No. 91585",34.99,4.7 out of 5 stars,57155.0,300.0,False,False,True,True,LAPGEAR
B08BRCT4JH,"BESIGN LS03 Aluminum Laptop Stand, Ergonomic Detachable Computer Stand, Riser Holder Notebook Stand Compatible with Air, Pro, Dell, HP, Lenovo More 10-15.6"" Laptops, Silver",18.99,4.8 out of 5 stars,18013.0,10000.0,True,False,False,True,BESIGN
B08M94BTYC,"Lamicall Adjustable Laptop Stand, Portable Laptop Riser, Aluminum Laptop Stand for Desk Foldable, Ergonomic Computer Notebook Stand Holder for MacBook Air Pro, Dell XPS, HP (10-17.3'') - Silver",35.99,4.7 out of 5 stars,8452.0,5000.0,False,False,False,True,Lamicall
B0BTSFVMLV,VILVA Portable-Monitor-for-Laptop - 15.6'' 1080P FHD IPS Display USB-C HDMI Portable Monitor for Laptop with Cover and Speakers External Monitor for Laptop/PC/Mac/Phone/Xbox Switch/PS4/,65.99,4.4 out of 5 stars,1493.0,1000.0,False,False,False,False,VILVA
B00NNMB3KS,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue",27.99,4.5 out of 5 stars,41998.0,4000.0,True,False,False,False,havit
